"2022/04/28","14:39:58",515.64,595.76
1220,933,933,
1221,902,902,
1222,937,937,
1223,942,942,
1224,852,852,
1225,871,871,
1226,901,901,
1227,922,922,
1228,898,898,
1229,893,893,
1230,914,914,
1231,902,902,
1232,863,863,
1233,840,840,
1234,916,916,
1235,845,845,
1236,862,862,
1237,910,910,
1238,904,904,
1239,831,831,
1240,832,832,
1241,883,883,
1242,855,855,
1243,899,899,
1244,912,912,
1245,915,915,
1246,850,850,
1247,886,886,
1248,952,952,
1249,867,867,
1250,866,866,
1251,845,845,
1252,879,879,
1253,854,854,
1254,867,867,
1255,871,871,
1256,872,872,
1257,817,817,
1258,807,807,
1259,820,820,
1260,899,899,
1261,858,858,
1262,865,865,
1263,857,857,
1264,863,863,
1265,818,818,
1266,849,849,
1267,846,846,
1268,834,834,
1269,856,856,
1270,830,830,
1271,879,879,
1272,877,877,
1273,853,853,
1274,806,806,
1275,862,862,
1276,861,861,
1277,876,876,
1278,907,907,
1279,832,832,
1280,815,815,
1281,878,878,
1282,848,848,
1283,856,856,
1284,863,863,
1285,869,869,
1286,857,857,
1287,870,870,
1288,880,880,
1289,894,894,
1290,896,896,
1291,841,841,
1292,830,830,
1293,892,892,
1294,871,871,
1295,863,863,
1296,867,867,
1297,911,911,
1298,858,858,
1299,911,911,
1300,898,898,
1301,914,914,
1302,877,877,
1303,917,917,
1304,937,937,
1305,931,931,
1306,909,909,
1307,945,945,
1308,917,917,
1309,897,897,
1310,891,891,
1311,876,876,
1312,863,863,
1313,931,931,
1314,937,937,
1315,871,871,
1316,848,848,
1317,901,901,
1318,846,846,
1319,893,893,
1320,872,872,
1321,901,901,
1322,882,882,
1323,885,885,
1324,830,830,
1325,780,780,
1326,811,811,
1327,763,763,
1328,723,723,
1329,726,726,
1330,735,735,
1331,710,710,
1332,619,619,
1333,615,615,
1334,611,611,
1335,605,605,
1336,618,618,
1337,559,559,
1338,597,597,
1339,565,565,
1340,559,559,
1341,596,596,
1342,562,562,
1343,567,567,
1344,545,545,
1345,578,578,
1346,580,580,
1347,541,541,
1348,547,547,
1349,532,532,
1350,500,500,
1351,509,509,
1352,538,538,
1353,514,514,
1354,546,546,
1355,544,544,
1356,481,481,
1357,506,506,
1358,498,498,
1359,538,538,
1360,533,533,
1361,500,500,
1362,493,493,
1363,489,489,
1364,482,482,
1365,514,514,
1366,514,514,
1367,476,476,
1368,524,524,
1369,505,505,
1370,515,515,
1371,495,495,
1372,499,499,
1373,515,515,
1374,509,509,
1375,517,517,
1376,506,506,
1377,558,558,
1378,551,551,
1379,593,593,
1380,668,668,
1381,629,629,
1382,678,678,
1383,745,745,
1384,705,705,
1385,785,785,
1386,811,811,
1387,920,920,
1388,1178,1178,
1389,1660,1660,
1390,3059,3059,
1391,6466,6466,
1392,12769,12769,
1393,18555,18555,
1394,17788,17788,
1395,10473,10473,
1396,4452,4452,
1397,1805,1805,
1398,853,853,
1399,605,605,
1400,508,508,
1401,452,452,
1402,439,439,
1403,412,412,
1404,432,432,
1405,409,409,
1406,411,411,
1407,397,397,
1408,394,394,
1409,418,418,
1410,378,378,
1411,395,395,
1412,398,398,
1413,380,380,
1414,386,386,
1415,347,347,
1416,355,355,
1417,336,336,
1418,352,352,
1419,326,326,
1420,323,323,
1421,336,336,
1422,332,332,
1423,307,307,
1424,336,336,
1425,304,304,
1426,326,326,
1427,291,291,
1428,316,316,
1429,299,299,
1430,281,281,
1431,273,273,
1432,280,280,
1433,282,282,
1434,285,285,
1435,265,265,
1436,296,296,
1437,268,268,
1438,270,270,
1439,239,239,
1440,272,272,
1441,245,245,
1442,257,257,
1443,250,250,
1444,210,210,
1445,228,228,
1446,222,222,
1447,220,220,
1448,229,229,
1449,239,239,
1450,236,236,
1451,208,208,
1452,204,204,
1453,188,188,
1454,228,228,
1455,190,190,
1456,198,198,
1457,216,216,
1458,189,189,
1459,192,192,
1460,189,189,
1461,184,184,
1462,193,193,
1463,185,185,
1464,197,197,
1465,182,182,
1466,168,168,
1467,181,181,
1468,189,189,
1469,176,176,
1470,158,158,
1471,183,183,
1472,165,165,
1473,175,175,
1474,205,205,
1475,161,161,
1476,163,163,
1477,171,171,
1478,167,167,
1479,177,177,
1480,174,174,
1481,152,152,
1482,154,154,
1483,143,143,
1484,168,168,
1485,148,148,
1486,167,167,
1487,137,137,
1488,150,150,
1489,148,148,
1490,157,157,
1491,146,146,
1492,150,150,
1493,132,132,
1494,142,142,
1495,149,149,
1496,126,126,
1497,139,139,
1498,143,143,
1499,151,151,
1500,115,115,
1501,133,133,
1502,138,138,
1503,136,136,
1504,144,144,
1505,138,138,
1506,135,135,
1507,149,149,
1508,132,132,
1509,145,145,
1510,125,125,
1511,148,148,
1512,112,112,
1513,132,132,
1514,147,147,
1515,145,145,
1516,122,122,
1517,143,143,
1518,138,138,
1519,141,141,
1520,132,132,
1521,138,138,
1522,149,149,
1523,113,113,
1524,129,129,
1525,135,135,
1526,159,159,
1527,140,140,
1528,140,140,
1529,115,115,
1530,136,136,
1531,136,136,
1532,134,134,
1533,129,129,
1534,142,142,
1535,141,141,
1536,135,135,
1537,120,120,
1538,142,142,
1539,128,128,
1540,107,107,
1541,121,121,
1542,115,115,
1543,135,135,
1544,123,123,
1545,142,142,
1546,129,129,
1547,120,120,
1548,134,134,
1549,126,126,
1550,126,126,
1551,136,136,
1552,113,113,
1553,132,132,
1554,124,124,
1555,122,122,
1556,128,128,
1557,134,134,
1558,127,127,
1559,137,137,
1560,142,142,
1561,147,147,
1562,146,146,
1563,148,148,
1564,148,148,
1565,146,146,
1566,161,161,
1567,193,193,
1568,203,203,
1569,244,244,
1570,240,240,
1571,272,272,
1572,335,335,
1573,351,351,
1574,400,400,
1575,431,431,
1576,486,486,
1577,599,599,
1578,897,897,
1579,1563,1563,
1580,3087,3087,
1581,6334,6334,
1582,11320,11320,
1583,15661,15661,
1584,14091,14091,
1585,8057,8057,
1586,3376,3376,
1587,1199,1199,
1588,494,494,
1589,220,220,
1590,182,182,
1591,164,164,
1592,135,135,
1593,134,134,
1594,150,150,
1595,135,135,
1596,125,125,
1597,145,145,
1598,115,115,
1599,107,107,
1600,93,93,
1601,107,107,
1602,104,104,
1603,126,126,
1604,103,103,
1605,102,102,
1606,103,103,
1607,88,88,
1608,91,91,
1609,95,95,
1610,94,94,
1611,94,94,
1612,88,88,
1613,84,84,
1614,92,92,
1615,89,89,
1616,84,84,
1617,90,90,
1618,80,80,
1619,83,83,
1620,68,68,
1621,77,77,
1622,95,95,
1623,87,87,
1624,80,80,
1625,95,95,
1626,72,72,
1627,64,64,
1628,80,80,
1629,87,87,
1630,84,84,
1631,85,85,
1632,78,78,
1633,75,75,
1634,70,70,
1635,83,83,
1636,82,82,
1637,83,83,
1638,79,79,
1639,77,77,
1640,82,82,
1641,90,90,
1642,84,84,
1643,83,83,
1644,65,65,
1645,103,103,
1646,76,76,
1647,70,70,
1648,68,68,
1649,74,74,
1650,73,73,
1651,69,69,
1652,72,72,
1653,71,71,
1654,78,78,
1655,80,80,
1656,77,77,
1657,77,77,
1658,69,69,
1659,65,65,
1660,82,82,
1661,69,69,
1662,55,55,
1663,80,80,
1664,70,70,
1665,60,60,
1666,83,83,
1667,75,75,
1668,63,63,
1669,68,68,
1670,82,82,
1671,73,73,
1672,69,69,
1673,59,59,
1674,76,76,
1675,64,64,
1676,69,69,
1677,76,76,
1678,57,57,
1679,81,81,
1680,76,76,
1681,68,68,
1682,55,55,
1683,84,84,
1684,58,58,
1685,61,61,
1686,62,62,
1687,63,63,
1688,78,78,
1689,76,76,
1690,59,59,
1691,75,75,
1692,56,56,
1693,76,76,
1694,52,52,
1695,68,68,
1696,54,54,
1697,44,44,
1698,62,62,
1699,74,74,
1700,76,76,
1701,60,60,
1702,67,67,
1703,66,66,
1704,73,73,
1705,58,58,
1706,47,47,
1707,69,69,
1708,68,68,
1709,54,54,
1710,62,62,
1711,68,68,
1712,71,71,
1713,66,66,
1714,70,70,
1715,70,70,
1716,78,78,
1717,61,61,
1718,57,57,
1719,53,53,
1720,65,65,
1721,64,64,
1722,64,64,
1723,61,61,
1724,69,69,
1725,54,54,
1726,65,65,
1727,54,54,
1728,70,70,
1729,67,67,
1730,64,64,
1731,75,75,
1732,69,69,
1733,68,68,
1734,124,124,
1735,151,151,
1736,207,207,
1737,175,175,
1738,129,129,
1739,100,100,
1740,73,73,
1741,65,65,
1742,65,65,
1743,46,46,
1744,79,79,
1745,60,60,
1746,67,67,
1747,77,77,
1748,72,72,
1749,57,57,
1750,59,59,
1751,66,66,
