"2022/04/28","13:49:13",593.6,600
1516,5,5,
1517,5,5,
1518,5,5,
1519,5,5,
1520,6,6,
1521,8,8,
1522,6,6,
1523,5,5,
1524,8,8,
1525,4,4,
1526,9,9,
1527,10,10,
1528,3,3,
1529,5,5,
1530,4,4,
1531,5,5,
1532,5,5,
1533,5,5,
1534,6,6,
1535,7,7,
1536,4,4,
1537,8,8,
1538,9,9,
1539,6,6,
1540,14,14,
1541,6,6,
1542,6,6,
1543,7,7,
1544,5,5,
1545,9,9,
1546,4,4,
1547,3,3,
1548,5,5,
1549,10,10,
1550,7,7,
1551,4,4,
1552,4,4,
1553,3,3,
1554,7,7,
1555,4,4,
1556,1,1,
1557,5,5,
1558,3,3,
1559,5,5,
1560,6,6,
1561,3,3,
1562,6,6,
1563,7,7,
1564,7,7,
1565,2,2,
1566,7,7,
1567,5,5,
1568,6,6,
1569,4,4,
1570,5,5,
1571,8,8,
1572,7,7,
1573,1,1,
1574,6,6,
1575,4,4,
1576,4,4,
1577,4,4,
1578,4,4,
1579,6,6,
1580,7,7,
1581,8,8,
1582,5,5,
1583,7,7,
1584,6,6,
1585,6,6,
1586,1,1,
1587,1,1,
1588,2,2,
1589,6,6,
1590,5,5,
1591,2,2,
1592,4,4,
1593,3,3,
1594,3,3,
1595,3,3,
1596,3,3,
1597,5,5,
1598,6,6,
1599,6,6,
1600,1,1,
1601,1,1,
1602,3,3,
1603,3,3,
1604,3,3,
1605,3,3,
1606,3,3,
1607,1,1,
1608,1,1,
1609,2,2,
1610,2,2,
1611,6,6,
1612,5,5,
1613,3,3,
1614,5,5,
1615,4,4,
1616,4,4,
1617,5,5,
1618,3,3,
1619,3,3,
1620,4,4,
1621,6,6,
1622,3,3,
1623,1,1,
1624,3,3,
1625,7,7,
1626,2,2,
1627,3,3,
1628,1,1,
1629,2,2,
1630,4,4,
1631,3,3,
1632,2,2,
1633,3,3,
1634,2,2,
1635,6,6,
1636,6,6,
1637,5,5,
1638,1,1,
1639,2,2,
1640,3,3,
1641,,0,
1642,,0,
1643,3,3,
1644,2,2,
1645,6,6,
1646,,0,
1647,2,2,
1648,3,3,
1649,3,3,
1650,4,4,
1651,1,1,
1652,5,5,
1653,5,5,
1654,2,2,
1655,2,2,
1656,2,2,
1657,1,1,
1658,6,6,
1659,,0,
1660,3,3,
1661,4,4,
1662,1,1,
1663,2,2,
1664,5,5,
1665,5,5,
1666,3,3,
1667,4,4,
1668,3,3,
1669,1,1,
1670,3,3,
1671,4,4,
1672,3,3,
1673,7,7,
1674,5,5,
1675,3,3,
1676,1,1,
1677,2,2,
1678,5,5,
1679,2,2,
1680,5,5,
1681,3,3,
1682,3,3,
1683,1,1,
1684,1,1,
1685,1,1,
1686,5,5,
1687,1,1,
1688,4,4,
1689,,0,
1690,3,3,
1691,4,4,
1692,,0,
1693,2,2,
1694,1,1,
1695,4,4,
1696,3,3,
1697,4,4,
1698,1,1,
1699,4,4,
1700,1,1,
1701,4,4,
1702,1,1,
1703,4,4,
1704,5,5,
1705,3,3,
1706,2,2,
1707,3,3,
1708,1,1,
1709,1,1,
1710,1,1,
1711,5,5,
1712,4,4,
1713,3,3,
1714,2,2,
1715,3,3,
1716,2,2,
1717,3,3,
1718,4,4,
1719,3,3,
1720,2,2,
1721,2,2,
1722,3,3,
1723,1,1,
1724,4,4,
1725,3,3,
1726,4,4,
1727,5,5,
1728,2,2,
1729,4,4,
1730,4,4,
1731,4,4,
1732,22,22,
1733,63,63,
1734,104,104,
1735,150,150,
1736,177,177,
1737,89,89,
1738,30,30,
1739,5,5,
1740,2,2,
1741,,0,
1742,1,1,
1743,2,2,
1744,,0,
1745,1,1,
1746,2,2,
1747,,0,
1748,1,1,
1749,1,1,
1750,1,1,
1751,,0,
1752,2,2,
1753,,0,
1754,,0,
1755,1,1,
1756,2,2,
1757,2,2,
1758,1,1,
1759,2,2,
1760,1,1,
1761,1,1,
1762,,0,
1763,,0,
1764,,0,
1765,,0,
1766,1,1,
1767,1,1,
1768,3,3,
1769,3,3,
1770,3,3,
1771,3,3,
1772,,0,
1773,1,1,
1774,,0,
1775,6,6,
1776,3,3,
1777,,0,
1778,3,3,
1779,3,3,
1780,1,1,
1781,,0,
1782,2,2,
1783,1,1,
1784,2,2,
1785,1,1,
1786,4,4,
1787,1,1,
1788,,0,
1789,6,6,
1790,,0,
1791,,0,
1792,1,1,
1793,3,3,
1794,1,1,
1795,1,1,
1796,,0,
1797,2,2,
1798,2,2,
1799,1,1,
1800,1,1,
1801,2,2,
1802,1,1,
1803,,0,
1804,2,2,
1805,1,1,
1806,1,1,
1807,1,1,
1808,,0,
1809,,0,
1810,2,2,
1811,4,4,
1812,1,1,
1813,,0,
1814,1,1,
1815,1,1,
1816,2,2,
1817,,0,
1818,,0,
1819,3,3,
1820,,0,
1821,1,1,
1822,,0,
1823,,0,
1824,,0,
1825,1,1,
1826,,0,
1827,1,1,
1828,1,1,
1829,,0,
1830,2,2,
1831,,0,
1832,,0,
1833,2,2,
1834,2,2,
1835,1,1,
1836,3,3,
1837,1,1,
1838,2,2,
1839,2,2,
1840,,0,
1841,,0,
1842,1,1,
1843,1,1,
1844,,0,
1845,1,1,
1846,1,1,
1847,2,2,
1848,2,2,
1849,,0,
1850,1,1,
1851,1,1,
1852,2,2,
1853,1,1,
1854,1,1,
1855,2,2,
1856,,0,
1857,2,2,
1858,2,2,
1859,1,1,
1860,2,2,
1861,3,3,
1862,,0,
1863,2,2,
1864,1,1,
1865,1,1,
1866,1,1,
1867,1,1,
1868,1,1,
1869,1,1,
1870,,0,
1871,4,4,
1872,2,2,
